age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
35,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Italy,1
37,Private,2,Divorced,Other-service,Unmarried,White,Female,35,Mexico,0
30,Private,12,Never-married,Sales,Unmarried,Black,Female,40,United-States,0
41,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
41,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,1
65,Self-emp-not-inc,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,United-States,1
24,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,1
23,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0
41,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,35,United-States,0
34,Private,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1
42,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
65,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
30,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,1
45,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1
63,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,United-States,0
30,Private,9,Never-married,Farming-fishing,Own-child,White,Male,60,United-States,0
22,Private,10,Never-married,Protective-serv,Not-in-family,White,Male,20,United-States,0
38,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
53,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,41,United-States,1
20,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States,0
35,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0
45,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
41,Private,15,Never-married,Exec-managerial,Not-in-family,White,Male,60,United-States,1
58,Private,9,Never-married,Sales,Other-relative,Black,Female,40,United-States,0
35,Self-emp-not-inc,13,Divorced,Sales,Not-in-family,White,Male,37,United-States,0
59,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
40,Private,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0
42,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,1
64,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,1
40,Private,9,Married-civ-spouse,Sales,Other-relative,White,Female,24,United-States,1
24,Private,9,Never-married,Adm-clerical,Own-child,White,Male,50,United-States,0
18,Self-emp-inc,6,Never-married,Other-service,Own-child,White,Male,16,United-States,0
34,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
38,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,1
56,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
63,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
40,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,24,United-States,1
34,Private,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,Taiwan,1
38,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0
52,Private,9,Married-civ-spouse,Sales,Wife,White,Female,60,United-States,0
31,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
28,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0
36,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,1
40,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,55,United-States,1
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,1
39,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,1
61,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,0
30,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0
63,Private,7,Divorced,Other-service,Not-in-family,White,Female,40,United-States,0
59,Private,9,Widowed,Other-service,Not-in-family,White,Female,36,United-States,0
38,Private,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,35,China,1
39,Private,9,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,0
52,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1
46,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
42,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
65,Local-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,0
35,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,1
35,Private,10,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
42,Private,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
52,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,Mexico,0
59,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
49,State-gov,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0
38,State-gov,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,0
41,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,0
37,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0
34,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,1
55,Private,13,Married-civ-spouse,Sales,Husband,White,Male,20,United-States,1
47,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0
23,Local-gov,13,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,0
35,Local-gov,12,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,Vietnam,0
46,Local-gov,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0
26,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,60,United-States,1
47,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1
22,Private,9,Never-married,Other-service,Own-child,Black,Female,24,United-States,0
51,Private,9,Divorced,Handlers-cleaners,Unmarried,White,Male,40,United-States,0
35,Private,9,Married-civ-spouse,Tech-support,Husband,White,Male,38,United-States,1
46,Local-gov,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,1
49,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0
52,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,1
37,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,United-States,0
33,State-gov,16,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,1
32,State-gov,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,Japan,0
29,Private,9,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,0
29,Private,9,Divorced,Other-service,Unmarried,White,Female,30,United-States,0
40,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,39,United-States,0
41,Private,7,Divorced,Handlers-cleaners,Not-in-family,White,Male,48,United-States,0
23,Private,7,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,0
30,State-gov,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0
36,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,50,Puerto-Rico,0
30,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
50,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,48,United-States,1
33,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,55,United-States,1
50,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
39,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,43,United-States,1
43,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
22,Private,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
24,Private,10,Never-married,Handlers-cleaners,Unmarried,White,Male,30,United-States,0
54,Self-emp-not-inc,9,Widowed,Craft-repair,Not-in-family,White,Male,50,United-States,0
56,Private,10,Divorced,Sales,Not-in-family,White,Male,60,United-States,1
22,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,0
49,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1
29,Private,10,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,0
29,Private,11,Never-married,Tech-support,Own-child,Black,Male,40,United-States,0
45,Self-emp-not-inc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,0
55,Private,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
45,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Italy,1
31,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0
32,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,38,United-States,1
47,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1
39,Private,9,Never-married,Other-service,Not-in-family,White,Female,47,United-States,0
48,Local-gov,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0
57,Private,9,Separated,Sales,Unmarried,White,Female,40,United-States,0
17,Self-emp-not-inc,8,Never-married,Sales,Own-child,White,Male,45,United-States,0
41,State-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,1
29,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
25,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,56,United-States,1
44,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
57,Private,6,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,20,United-States,0
55,Self-emp-not-inc,4,Married-civ-spouse,Sales,Husband,White,Male,80,United-States,0
60,Private,16,Separated,Priv-house-serv,Unmarried,White,Female,30,Nicaragua,0
20,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0
40,Federal-gov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
40,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
32,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1
44,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1
28,Private,11,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0
53,Private,8,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
48,Private,13,Married-civ-spouse,Sales,Husband,White,Male,25,United-States,1
37,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0
45,Private,11,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0
51,Self-emp-not-inc,16,Divorced,Sales,Not-in-family,White,Male,50,United-States,1
38,Private,10,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,0
46,Self-emp-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,1
39,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,31,Cuba,1
27,Private,11,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,1
27,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
30,Private,6,Never-married,Machine-op-inspct,Unmarried,White,Female,40,United-States,0
39,Private,13,Separated,Prof-specialty,Not-in-family,White,Male,50,United-States,1
61,Self-emp-not-inc,13,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,1
27,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
37,Private,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,0
43,Private,12,Married-civ-spouse,Other-service,Husband,Black,Male,40,Haiti,0
40,Private,9,Divorced,Machine-op-inspct,Own-child,Black,Male,40,United-States,0
28,Private,11,Never-married,Exec-managerial,Not-in-family,White,Male,60,United-States,1
38,Private,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,0
46,State-gov,11,Divorced,Adm-clerical,Own-child,White,Female,20,United-States,0
37,Local-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,44,United-States,0
41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,1
48,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,1
53,Private,9,Married-civ-spouse,Craft-repair,Wife,White,Female,45,United-States,1
40,Local-gov,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
17,Private,7,Never-married,Sales,Own-child,White,Female,20,United-States,0
37,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,1
46,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0
54,Private,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0
18,Private,10,Never-married,Other-service,Own-child,White,Female,40,United-States,0
35,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0
32,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
43,Private,9,Separated,Machine-op-inspct,Not-in-family,White,Female,44,United-States,0
31,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
27,Private,13,Never-married,Other-service,Not-in-family,White,Female,30,United-States,0
26,Private,12,Divorced,Transport-moving,Unmarried,White,Female,30,United-States,0
40,Private,10,Divorced,Craft-repair,Unmarried,White,Female,40,England,0
20,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
53,Private,15,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,1
53,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yugoslavia,1
40,State-gov,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,United-States,0
29,Private,5,Never-married,Priv-house-serv,Unmarried,White,Female,24,El-Salvador,0
53,Private,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1
45,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
47,State-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
42,Federal-gov,12,Separated,Prof-specialty,Unmarried,White,Female,40,United-States,1
41,Federal-gov,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,50,United-States,1
56,Self-emp-not-inc,10,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,1
39,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
33,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
21,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
57,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,1
27,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
29,Private,9,Never-married,Handlers-cleaners,Unmarried,Black,Male,40,United-States,0
34,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1
41,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,42,United-States,1
30,Private,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1
35,Federal-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1
18,Private,9,Never-married,Sales,Own-child,White,Female,33,United-States,0
38,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
40,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,1
34,Self-emp-not-inc,11,Never-married,Farming-fishing,Not-in-family,White,Male,60,United-States,1
23,Private,9,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,0
71,Private,9,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,0
38,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
42,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,United-States,1
30,Private,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,United-States,0
52,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
19,Self-emp-not-inc,9,Never-married,Other-service,Own-child,White,Male,53,Yugoslavia,0
41,Private,9,Divorced,Transport-moving,Not-in-family,White,Male,50,United-States,0
33,Private,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0
18,Private,8,Never-married,Sales,Other-relative,White,Female,16,United-States,0
31,Federal-gov,9,Divorced,Craft-repair,Unmarried,Black,Male,50,United-States,0
54,State-gov,14,Never-married,Prof-specialty,Unmarried,White,Female,37,United-States,0
45,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,1
60,Self-emp-not-inc,5,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,0
38,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
28,Self-emp-not-inc,6,Never-married,Sales,Own-child,White,Male,80,United-States,0
30,Private,5,Divorced,Farming-fishing,Own-child,White,Male,30,United-States,0
55,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
59,Self-emp-not-inc,9,Widowed,Craft-repair,Not-in-family,White,Male,24,United-States,0
50,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,1
54,Private,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,1
43,Private,12,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,0
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
36,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,Germany,0
28,Private,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,50,South,1
35,State-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
53,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
64,Self-emp-inc,14,Married-civ-spouse,Sales,Husband,White,Male,65,United-States,1
43,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1
29,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,United-States,0
51,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1
19,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,20,United-States,0
18,Private,7,Never-married,Other-service,Own-child,White,Male,30,United-States,0
29,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0
22,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0
47,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
37,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,1
50,Self-emp-not-inc,10,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,0
54,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,1
39,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,1
21,Private,10,Never-married,Craft-repair,Own-child,White,Male,20,United-States,0
34,Private,9,Separated,Adm-clerical,Unmarried,White,Female,32,United-States,0
44,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,38,United-States,1
26,Private,11,Separated,Adm-clerical,Unmarried,Black,Female,40,United-States,0
38,Private,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,30,United-States,0
62,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
30,Private,9,Divorced,Craft-repair,Own-child,White,Male,40,United-States,0
47,Private,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,30,United-States,1
31,Private,13,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,0
29,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,0
36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
34,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,1
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1
51,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,0
23,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0
68,Private,10,Widowed,Craft-repair,Not-in-family,White,Male,10,United-States,0
57,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
46,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,1
20,Private,3,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,0
56,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,1
54,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
47,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
46,Private,6,Widowed,Other-service,Not-in-family,White,Female,40,Portugal,0
26,Private,6,Divorced,Machine-op-inspct,Own-child,White,Male,35,United-States,0
37,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,54,United-States,1
33,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1
47,Private,14,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,Haiti,0
33,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,55,United-States,0
42,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
41,Private,2,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Mexico,0
30,Private,12,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,1
59,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,1
20,Private,10,Never-married,Sales,Own-child,White,Female,15,United-States,0
32,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0
24,Private,13,Never-married,Adm-clerical,Own-child,White,Female,45,United-States,0
53,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,1
34,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0
47,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1
40,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
62,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
48,Self-emp-inc,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
31,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,37,United-States,0
49,State-gov,10,Married-civ-spouse,Other-service,Husband,White,Male,70,United-States,1
50,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
32,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,1
